prev_trade_id,symbol,strategy,entry_type,direction,entry_date,entry_timestamp,instrument_type,quantity,entry_price,stop_price,exit_price,exit_date,exit_timestamp,capital_required,trade_duration,winning_trade,risk_reward,risk_per_trade,perc_return,risk_size
403,NVDA,cib,,bullish,2025-01-15,14:01:14,stock,500,135.62,135.35,135.33,2025-01-15,,67807.520,0.00,0,-1.07,0.49,-0.53,133.00
406,MSTR,level break,,bullish,2025-01-16,10:57:32,stock,80,357.22,355.40,367.67,2025-01-16,,28577.800,0.00,1,5.73,0.54,3.09,146.00
407,NVDA,level bounce,,bullish,2025-01-16,11:59:21,stock,500,135.12,134.80,134.79,2025-01-16,,67560.520,0.00,0,-1.03,0.59,-0.61,161.00
408,QQQ,level break,,bearish,2025-01-16,13:28:24,stock,500,515.81,516.10,515.24,2025-01-16,,257906.230,0.00,1,2.00,0.53,1.06,144.00
409,TSLA,undercut & rally,,bullish,2025-01-16,14:03:21,stock,135,410.74,409.74,414.88,2025-01-16,,55450.480,0.00,1,4.14,0.50,2.07,135.00
410,MSTR,level break,,bullish,2025-01-17,10:00:29,stock,50,390.81,388.55,388.24,2025-01-17,,19540.500,0.00,0,-1.14,0.42,-0.48,113.00
411,QQQ,level break,,bearish,2025-01-17,10:27:16,stock,450,518.91,519.26,519.31,2025-01-17,,233509.670,0.00,0,-1.14,0.58,-0.67,157.00
412,QQQ,level bounce,,bullish,2025-01-17,10:28:50,stock,200,519.76,519.13,522.24,2025-01-17,,103951.010,0.00,1,3.98,0.46,1.84,125.00
413,MSTR,cib,,bullish,2025-01-17,10:58:20,stock,70,389.72,388.16,388.02,2025-01-17,,27280.700,0.00,0,-1.09,0.41,-0.44,110.00
414,APP,level break,,bullish,2025-01-17,13:20:53,stock,100,344.53,343.31,343.00,2025-01-17,,34452.800,0.00,0,-1.25,0.45,-0.57,122.00
417,TSLA,level bounce,,bullish,2025-01-21,09:59:50,stock,50,412.20,409.40,409.28,2025-01-21,,20610.000,0.00,0,-1.04,0.52,-0.54,140.00
418,TSLA,level bounce,,bullish,2025-01-21,10:29:59,stock,110,412.46,411.20,420.13,2025-01-21,,45370.500,0.00,1,6.09,0.51,3.12,139.00
419,NVDA,cib,,bullish,2025-01-21,12:28:42,stock,600,139.38,139.15,141.00,2025-01-21,,83625.020,0.00,1,7.22,0.50,3.61,135.00
420,QQQ,cib,,bullish,2025-01-21,13:11:29,stock,450,525.47,525.26,525.21,2025-01-21,,236463.270,0.00,0,-1.23,0.36,-0.44,96.00
421,PLTR,cib,,bullish,2025-01-21,14:30:25,stock,600,73.43,73.32,73.29,2025-01-21,,44058.000,0.00,0,-1.25,0.24,-0.30,66.00
424,QQQ,cib,confirmation,bullish,2025-01-22,10:30:18,stock,350,532.52,532.14,532.12,2025-01-22,,186381.000,0.00,0,-1.05,0.49,-0.51,132.00
426,MSTR,level bounce,confirmation,bullish,2025-01-22,11:59:32,stock,135,375.10,374.10,377.10,2025-01-22,,50637.830,0.00,1,2.00,0.50,1.00,135.00
427,META,level bounce,confirmation,bullish,2025-01-23,09:59:38,stock,120,627.10,626.03,625.88,2025-01-23,,75252.200,0.00,0,-1.14,0.48,-0.54,129.00
428,META,level bounce,confirmation,bullish,2025-01-23,10:28:00,stock,135,627.00,626.00,634.25,2025-01-27,,84645.000,2.00,1,7.25,0.50,3.62,135.00
433,QQQ,level break,anticipation,bearish,2025-01-24,13:46:04,stock,400,529.41,529.81,529.81,2025-01-24,,211764.030,0.00,0,-1.00,0.59,-0.59,158.00
434,NVDA,level break,anticipation,bearish,2025-01-24,13:51:01,stock,400,142.49,142.80,142.42,2025-01-24,,56996.340,0.00,1,0.23,0.46,0.10,124.00
435,QQQ,level bounce,confirmation,bullish,2025-01-24,15:02:48,stock,400,529.00,528.70,528.66,2025-01-24,,211598.010,0.00,0,-1.14,0.44,-0.50,118.00
436,QQQ,cib,confirmation,bullish,2025-01-27,09:31:00,stock,450,512.12,511.82,513.62,2025-01-27,,230454.000,0.00,1,5.00,0.50,2.50,135.00
437,QQQ,cib,confirmation,bullish,2025-01-27,10:29:09,stock,440,516.34,516.04,517.08,2025-01-27,,227188.010,0.00,1,2.50,0.48,1.21,130.00
438,NVDA,level break,anticipation,bearish,2025-01-27,10:58:55,stock,400,122.40,122.70,120.34,2025-01-27,,48960.560,0.00,1,6.89,0.44,3.05,119.00
439,NVDA,level break,anticipation,bearish,2025-01-27,12:51:24,stock,450,118.88,119.15,119.13,2025-01-27,,53496.670,0.00,0,-0.94,0.45,-0.42,121.00
441,NVDA,level break,anticipation,bullish,2025-01-27,14:32:35,stock,450,119.22,118.91,118.90,2025-01-27,,53650.270,0.00,0,-1.03,0.52,-0.54,141.00
442,PLTR,level break,anticipation,bullish,2025-01-28,10:00:22,stock,500,76.39,76.13,76.09,2025-01-28,,38192.520,0.00,0,-1.15,0.47,-0.54,128.00
443,PLTR,level break,anticipation,bullish,2025-01-28,10:04:04,stock,350,76.41,76.02,79.47,2025-02-03,,26741.760,4.00,1,7.95,0.50,3.97,135.00
444,QQQ,cib,confirmation,bullish,2025-01-28,14:00:48,stock,500,521.06,520.80,520.77,2025-01-28,,260527.520,0.00,0,-1.12,0.47,-0.53,128.00
445,QQQ,cib,confirmation,bullish,2025-01-28,14:30:47,stock,711,521.40,521.21,522.35,2025-01-28,,370468.420,0.00,1,4.98,0.50,2.49,135.00
457,MSTR,level bounce,confirmation,bullish,2025-02-06,09:44:28,stock,135,330.00,329.00,334.00,2025-02-06,,44550.000,0.00,1,4.00,0.50,2.00,135.00
